Part,Part Name,Role,"Form Page (even, left)","Diagram Page (odd, right)",Tier,Item,Spread Goal,Diagram Page Content,Form Page Fields,Base View
B,Bookkeeping,Spread,B208,B209,Advanced,Estate & ownership planning,Make ownership outlive you,Ownership transfer diagram (will / trust / joint title),Will location; executor; how titled; beneficiaries; attorney,Document Desk
C,Curb,Part opener,C000,C001,Basic,Curb,See everything under the open sky as one system,"Exterior master view in full color; grounds elements highlighted and labeled (lawn, trees, beds, drive, fence, pool, coop). Reader interaction on the opener: Reader's lot sketch: position their own outdoor elements.",,Overlay
C,Curb,Spread,C002,C003,Basic,Site grading & drainage,See how your whole lot sheds water,Positive grading detail at foundation; swale diagram,Trouble spots; regraded; swale map,Exterior
C,Curb,Spread,C004,C005,Basic,Turf & lawn,Understand turf as a system,Grass anatomy (root depth vs mowing height); seasonal care wheel,Area; grass type; mow height; fertilize and aerate dates,Exterior
C,Curb,Spread,C006,C007,Basic,Road,Understand your surface and its enemies,Driveway cross-section (base/surface layers); crack types chart,Material; area; last sealed; drainage notes,Exterior
C,Curb,Spread,C008,C009,Basic,Driveway,Understand your surface and its enemies,Driveway cross-section (base/surface layers); crack types chart,Material; area; last sealed; drainage notes,Exterior
C,Curb,Spread,C010,C011,Basic,Walkways & paths,Safe passage in all seasons,Path construction cross-section,Materials; trip hazards; ice strategy,Exterior
C,Curb,Spread,C012,C013,Basic,Property boundaries & markers,Know your exact lines,Lot sketch with pin locations,Pin locations/landmarks; fence offsets; disputes,Exterior
C,Curb,Spread,C014,C015,Basic,Plat,Know your exact lines,Lot sketch with pin locations,Pin locations/landmarks; fence offsets; disputes,Document Desk
C,Curb,Spread,C016,C017,Basic,Road connection & apron,Understand your surface and its enemies,Driveway cross-section (base/surface layers); crack types chart,Material; area; last sealed; drainage notes,Exterior
C,Curb,Spread,C018,C019,Basic,Pavers & patio,Understand your surface and its enemies,Driveway cross-section (base/surface layers); crack types chart,Material; area; last sealed; drainage notes,Exterior
C,Curb,Spread,C020,C021,Basic,Fencing,Know your fence and whose it is,Post-setting detail; property-line offset diagram,Material; length; shared sides; last stained,Exterior
C,Curb,Spread,C022,C023,Basic,Trees & shade,"Your largest plants, your largest risks",Tree hazard zones diagram (over roof and lines); root zone illustration,"Inventory (species, height, distance to house); arborist; last pruned",Exterior
C,Curb,Spread,C024,C025,Basic,"Garden beds, hedges & shrubs",Bloom all season by design,Succession bloom timeline; bed layout,Beds; key plants; divide/deadhead schedule,Exterior
C,Curb,Spread,C200,C201,Advanced,Parking,Map your parking assets,Site sketch of spaces,Spaces; surfaces; permits needed,Exterior
C,Curb,Spread,C202,C203,Advanced,Gates,Gates that swing true,Gate hinge and latch anatomy,Locations; hardware; opener Y/N,Exterior
C,Curb,Spread,C204,C205,Advanced,Retaining walls,Understand what holds your hill,"Wall cross-section (drainage, weep holes, batter)",Locations; height; material; bulge or lean notes,Exterior
C,Curb,Spread,C206,C207,Advanced,Snow & ice management,Winter's standing appointment,Ice dam formation diagram; de-icing strategy map,Equipment; de-icer type; contractor; roof rake Y/N,Exterior
C,Curb,Spread,C208,C209,Advanced,Sprinkler irrigation,See your zones underground,Yard zone map; sprinkler head types chart,Controller model; zones and coverage; winterize/startup dates,Exterior
C,Curb,Spread,C210,C211,Advanced,Vegetable garden,Map your growing operation,Bed layout plan; sun map; hardiness zone map,Zone; beds; sun hours; soil test date; crops,Exterior
C,Curb,Spread,C212,C213,Advanced,Herb garden,Perennial vs annual herbs at a glance,Herb layout/spiral plan,Herbs grown; perennials list; harvest notes,Exterior
C,Curb,Spread,C214,C215,Advanced,Compost,Waste becomes soil,"Compost layers diagram (greens, browns, air, water)",System type; ratio notes; turned dates,Exterior
C,Curb,Spread,C216,C217,Advanced,Wildlife & critter management,Coexist on your terms,"Entry and attractant map (deer, raccoons, moles)",Species seen; deterrents; exclusion work; local trapping rules,Exterior
C,Curb,Spread,C218,C219,Advanced,Grill & smoker,Master fire and food safely,"Grill anatomy (burners, grates, grease path)",Type; fuel; grates cleaned; burner check,Exterior
C,Curb,Spread,C220,C221,Advanced,Fire pit,"Fire, contained",Clearance diagram (distances to structures),Type; fuel; local burn rules; screen Y/N,Exterior
C,Curb,Spread,C222,C223,Advanced,Outdoor furniture & cushions,Furnish the open air,Material weathering chart,Inventory; covers; winter storage plan,Exterior
C,Curb,Spread,C224,C225,Advanced,Playground & play structures,Safe play by design,Fall zone and surfacing diagram,Equipment; surfacing depth; hardware checked; age fit,Exterior
C,Curb,Spread,C226,C227,Advanced,Holiday & decorative lighting,"Festive, safely",Outdoor circuit load diagram; safe attachment methods,Storage location; circuits used; timers; outdoor-rated check,Exterior
C,Curb,Spread,C400,C401,Professional,Raised beds,Understand bed-building,Raised bed cross-section (soil layers),Count; sizes; soil mix; built date,Exterior
C,Curb,Spread,C402,C403,Professional,Greenhouse,A climate you control,Greenhouse airflow and venting diagram,Size; glazing; heat source; vents,Exterior
C,Curb,Spread,C404,C405,Professional,Orchard & fruit trees,Know each tree's needs,Pruning cuts diagram; tree spacing plan,"Trees (variety, planted, rootstock); harvest months",Exterior
C,Curb,Spread,C406,C407,Professional,Berry bushes & vines,"Small fruits, big returns",Trellis systems diagram,Varieties; locations; pruned date,Exterior
C,Curb,Spread,C408,C409,Professional,Drip irrigation,"Water at the root, drop by drop",Drip schematic (filter→regulator→emitters),Zones; emitter types; flush date,Exterior
C,Curb,Spread,C410,C411,Professional,Robot mower,The lawn that cuts itself,Boundary wire or GPS zones map,Model; boundary type; schedule; blades changed,Exterior
C,Curb,Spread,C412,C413,Professional,Pond,A balanced ecosystem in a basin,"Pond cross-section (liner, shelves, biology)",Volume; liner type; fish and plants; seasonal care,Exterior
C,Curb,Spread,C414,C415,Professional,Pond pump & filtration,Keep water moving and clear,Pump-filter-UV flow loop diagram,Pump model; GPH; filter type; cleaned date,Exterior
C,Curb,Spread,C416,C417,Professional,Fountain & water features,"Moving water, simply",Recirculation diagram,Feature; pump model; winter procedure,Exterior
C,Curb,Spread,C418,C419,Professional,Pool,Understand the vessel,"Pool anatomy cutaway (skimmer, returns, main drain)",Volume; surface type; opened/closed dates; rules posted,Exterior
C,Curb,Spread,C420,C421,Professional,Pool pump & filtration,The pool's heart and kidneys,Circulation loop diagram; filter types chart,Pump model/HP; filter type; pressure baseline; backwash date,Exterior
C,Curb,Spread,C422,C423,Professional,Pool heater,"Warm water, on budget",Heater types comparison (gas / heat pump / solar),Type; model; target temp; serviced date,Exterior
C,Curb,Spread,C424,C425,Professional,Pool chemistry,Read water like a pro,"Chemistry wheel (pH, chlorine, alkalinity ranges)","Test log: date, pH, chlorine, alkalinity, actions",Exterior
C,Curb,Spread,C426,C427,Professional,Pool cover & safety,Layers of protection,Safety layers diagram (fence→alarm→cover),Cover type; barrier height; alarms; latch checks,Exterior
C,Curb,Spread,C428,C429,Professional,Hot tub / spa,"Small water, fast chemistry",Spa plumbing loop diagram,Model; volume; drain/refill date; chemistry log,Exterior
C,Curb,Spread,C430,C431,Professional,Outdoor kitchen,Cook where you live,"Utility runs diagram (gas, water, power to the island)",Appliances; gas source; winterize steps,Exterior
C,Curb,Spread,C432,C433,Professional,Outdoor shower,Rinse where you swim,Outdoor shower plumbing and drain diagram,Location; hot water Y/N; winterize steps,Exterior
C,Curb,Spread,C434,C435,Professional,Sport court & hoop,Play at home,Court dimensions and surfacing diagram,Type; surface; hoop height; maintenance,Exterior
C,Curb,Spread,C436,C437,Professional,Chicken coop & backyard poultry,Eggs from the backyard,"Coop anatomy (roost, nest boxes, run, predator-proofing)",Flock; coop specs; local rules; predator audit,Exterior
C,Curb,Spread,C438,C439,Professional,Beehives,"Keep bees, legally and well","Hive anatomy (boxes, frames)",Hives; registration; inspection log; harvest dates,Exterior
C,Curb,Spread,C440,C441,Professional,Outdoor & landscape speakers,Sound in the garden,Speaker zones and buried cable diagram,Zones; amplifier location; volume rules,Exterior
D,Dwelling,Part opener,D000,D001,Basic,Dwelling,See the bones and envelope as one continuous shell,"Cutaway master view; frame, foundation, roof, and envelope layers highlighted; load path arrows. Reader interaction on the opener: Mark your home's structure type, stories, attic and basement access.",,Overlay
D,Dwelling,Spread,D002,D003,Basic,Foundation,Read your foundation's health,Foundation types cutaway (slab/crawl/basement); crack severity chart,Type; crack map; moisture notes; last inspected,Cutaway
D,Dwelling,Spread,D004,D005,Basic,Basement & crawlspace,Know the space beneath,Basement moisture sources diagram; crawlspace anatomy,Type; moisture readings; access points; stored items,Cutaway
D,Dwelling,Spread,D006,D007,Basic,Finished Basement,Treat the finished basement as a distinct documented part of the dwelling,Existing 603 Finished Basement artwork. Exact teaching scope should be transcribed from the Illustrator page before canonical implementation. Replace printed legacy identity with D63 and pair to D62.,REVIEW REQUIRED: define page-specific form fields after inspecting the existing Finished Basement artwork,Cutaway
D,Dwelling,Spread,D008,D009,Basic,Framing & load paths,See how the house stands up,Load path diagram (roof→walls→foundation); bearing vs partition walls,Framing type; known bearing walls; sag or bounce notes,Cutaway
D,Dwelling,Spread,D010,D011,Basic,Insulation,Where heat escapes,Whole-house heat loss diagram (% by surface); R-value map by area,Attic R-value; wall type; floor/crawl; upgrades,Cutaway
D,Dwelling,Spread,D012,D013,Basic,Air sealing & vapor barriers,Stop the leaks you can't see,Common air leak points diagram,Known drafts; sealed dates; blower test result,Cutaway
D,Dwelling,Spread,D014,D015,Basic,Windows,Understand a window's anatomy,"Window anatomy (sash, glazing, weep holes, low-E)",Count; type and material; age; failed seals list,Exterior
D,Dwelling,Spread,D016,D017,Basic,Exterior doors,"Tight, true, and secure","Door anatomy (jamb, sweep, threshold, strike)",Door list; weatherstrip condition; adjusted date,Exterior
D,Dwelling,Spread,D018,D019,Basic,Garage door & opener,Your largest moving object,"Spring, cable, and track anatomy; safety sensor alignment",Opener model; spring type; balance test date; sensor test,Exterior
D,Dwelling,Spread,D020,D021,Basic,Siding & exterior walls,The weather skin,Wall cross-section (siding→barrier→sheathing),Material; last washed/painted; damage map,Exterior
D,Dwelling,Spread,D022,D023,Basic,Exterior paint & caulking,The thin line against rot,"Failure points diagram (joints, sills, trim)",Colors and brands; last painted; caulk checked,Exterior
D,Dwelling,Spread,D024,D025,Basic,Attic,Your house's diagnostic space,Attic inspection map (what to check where),Access location; insulation depth; leak stains; pest signs,Cutaway
D,Dwelling,Spread,D026,D027,Basic,Roof covering (shingles/metal/tile),Know your roof's age and enemies,"Roof layers cutaway (deck, underlayment, covering)",Material; installed year; estimated life left; leak history,Exterior
D,Dwelling,Spread,D028,D029,Basic,Chimney & flue,The exhaust tower,"Chimney cutaway (crown, cap, liner, flue)",Flue count; liner type; swept date; cap condition,Exterior
D,Dwelling,Spread,D030,D031,Basic,Deck,The room outside,Ledger attachment detail (the critical joint); joist anatomy,Size; material; ledger checked; stained date,Exterior
D,Dwelling,Spread,D032,D033,Basic,Shed,The fifth wall of storage,Shed foundation options diagram,Size; foundation; contents zones; roof condition,Exterior
D,Dwelling,Spread,D034,D035,Basic,Completed dwelling & garage,See the bones and envelope as one continuous shell,"Cutaway master view; frame, foundation, roof, and envelope layers highlighted; load path arrows. Reader interaction on the opener: Mark your home's structure type, stories, attic and basement access.",,Overlay
D,Dwelling,Spread,D200,D201,Advanced,Roof flashing & valleys,Where roofs actually leak,"Flashing details (chimney, valley, vent boot)",Flashing points map; last inspected; resealed,Exterior
D,Dwelling,Spread,D202,D203,Advanced,Soffits & fascia,The roof's edge explained,"Eave cross-section (soffit, fascia, gutter relationship)",Material; vent type; rot spots,Exterior
D,Dwelling,Spread,D204,D205,Advanced,Storm doors & window screens,The seasonal second layer,Storm door anatomy; screen repair steps,Inventory; seasonal swap dates; repairs,Exterior
D,Dwelling,Spread,D206,D207,Advanced,Patio,"Stone underfoot, done right",Patio base cross-section,Material; area; releveled; joint sand date,Exterior
D,Dwelling,Spread,D400,D401,Professional,Pergola & shade structures,Shade by design,Post and beam connection details,Structure; material; hardware check; stained,Exterior
D,Dwelling,Spread,D402,D403,Professional,Workshop,A safe place to make,"Workshop layout zones (dust, power, bench)",Power available; dust management; tool inventory location,Exterior
D,Dwelling,Spread,D404,D405,Professional,Detached garage,The second building,"Garage systems mini-map (power, door, roof)",Size; power Y/N; door serviced; roof age,Exterior
D,Dwelling,Spread,D406,D407,Professional,Well house / pump house,Protect the water source,Well house freeze-protection diagram,Heat source; insulation; contents; winter checks,Exterior
D,Dwelling,Spread,D408,D409,Professional,Outdoor storage,Everything in its place outside,Property storage map,Locations; contents; weatherproofing notes,Exterior
D,Dwelling,Spread,D410,D411,Professional,Elevator & stair lift,Vertical mobility at home,Stair lift track and elevator shaft diagrams,Type; capacity; inspected; service contract,Cutaway
D,Dwelling,Spread,D412,D413,Professional,ADU / accessory dwelling,A second home on the lot,"ADU types diagram (detached, garage conversion, basement)",Type; permits; utilities metered; occupancy,Exterior
D,Dwelling,Spread,D414,D415,Professional,Daylighting & skylights,Free light from above,Skylight flashing cross-section,Locations; leak history; shades,Exterior
E,Energy,Part opener,E000,E001,Basic,Energy,"Trace every wire, pipe of gas, and duct of conditioned air","Cutaway master view, ghosted; electrical traced panel-to-outlet and gas meter-to-appliance, each in its color. Reader interaction on the opener: Mark your panel, meter, and equipment locations on the trace.",,Overlay
E,Energy,Spread,E002,E003,Basic,Electrical service entrance & meter,Where power arrives,"Service entrance diagram (drop, meter, mast)",Amps (100/200); overhead or underground; meter #,Cutaway
E,Energy,Spread,E004,E005,Basic,Main panel & breakers,Command center of power,Panel anatomy with labeled breaker map,Panel brand; amps; breaker map filled; AFCI/GFCI present,Cutaway
E,Energy,Spread,E006,E007,Basic,Circuits & wiring,What's on each circuit,Circuit tracing diagram; wire gauge chart,Circuit map (room→breaker); wiring type; year,Cutaway
E,Energy,Spread,E008,E009,Basic,Outlets & GFCI/AFCI,The safety outlets explained,GFCI cutaway (test/reset); where-code-requires diagram,GFCI locations; test log; worn outlets list,Cutaway
E,Energy,Spread,E010,E011,Basic,Switches,Every switch decoded,Three-way switch wiring diagram,Mystery switches solved; dimmer locations,Cutaway
E,Energy,Spread,E012,E013,Basic,Grounding system,The path that saves lives,"Grounding diagram (rod, bonding, panel)",Rod location; bonded systems; inspected,Cutaway
E,Energy,Spread,E014,E015,Basic,Interior lighting fixtures,Light every room right,"Lighting layers diagram (ambient, task, accent)",Fixture inventory; bulb types and sizes per room,Cutaway
E,Energy,Spread,E016,E017,Basic,Lighting controls & dimmers,Control the mood,LED dimmer compatibility chart,Dimmer locations; bulb pairing notes,Cutaway
E,Energy,Spread,E018,E019,Basic,Exterior lighting — entry,Welcome and security at the door,Entry lighting placement diagram,Fixtures; bulbs; controls (timer/photocell),Exterior
E,Energy,Spread,E020,E021,Basic,Gas meter & main shutoff,Find and operate the gas main,Meter anatomy with shutoff valve positions (quarter-turn on/off),Meter location; shutoff tool location; smell-gas steps posted,Cutaway
E,Energy,Spread,E022,E023,Basic,Gas piping,Know what runs on gas,House gas line map (meter→appliances),Appliances on gas; pipe material; last leak test,Cutaway
E,Energy,Spread,E024,E025,Basic,Gas appliances & connections,Every flame accounted for,Flex connector and sediment trap detail,Appliance list; shutoffs; serviced dates,Cutaway
E,Energy,Spread,E026,E027,Basic,Furnace,Understand your heat engine,"Furnace cutaway (burner, exchanger, blower, filter)",Brand/model; fuel; age; filter size; serviced,Cutaway
E,Energy,Spread,E200,E201,Advanced,Exterior lighting — path,Guide every step,Low-voltage system diagram (transformer→runs),Transformer watts; fixtures; schedule,Exterior
E,Energy,Spread,E202,E203,Advanced,Exterior lighting — flood/security,Light as a deterrent,Motion sensor coverage cone diagram,Locations; sensor settings; aim checked,Exterior
E,Energy,Spread,E204,E205,Advanced,Surge protection & UPS,Defend the electronics,"Layered protection diagram (panel, strip, UPS)",Whole-house unit Y/N; protected gear; UPS runtime,Cutaway
E,Energy,Spread,E206,E207,Advanced,Subpanels,Power's branch offices,Main-to-subpanel feeder diagram,Locations; what they feed; amps,Cutaway
E,Energy,Spread,E208,E209,Advanced,Generator,Power when the grid fails,Portable vs standby hookup diagram; CO clearance zones,Type; watts; fuel; monthly run log; interlock Y/N,Exterior
E,Energy,Spread,E210,E211,Advanced,Propane tank,Your fuel on site,"Tank anatomy (gauge, regulator, relief valve)",Size; gauge %; supplier; regulator age,Exterior
E,Energy,Spread,E212,E213,Advanced,Fireplace,"The open flame, managed","Fireplace anatomy (damper, smoke shelf, flue)",Type; damper works; last swept; cap Y/N,Cutaway
E,Energy,Spread,E400,E401,Professional,Transfer switch,Switch power sources safely,Transfer switch wiring concept,Manual or automatic; circuits covered; exercised date,Cutaway
E,Energy,Spread,E402,E403,Professional,Solar panels,Harvest your roof,System diagram (panels→inverter→panel→grid),kW size; installer; install date; production baseline,Exterior
E,Energy,Spread,E404,E405,Professional,Inverter,"DC to AC, explained",String vs micro inverter comparison,Model; location; fault history; firmware,Cutaway
E,Energy,Spread,E406,E407,Professional,Battery storage,Keep the sun for later,Backup flow diagram (what stays on),kWh; backed-up circuits; mode settings,Cutaway
E,Energy,Spread,E408,E409,Professional,Smart electrical panel,The breaker box gets a brain,Per-circuit monitoring diagram,Model; circuits monitored; alerts set,Cutaway
E,Energy,Spread,E410,E411,Professional,EV charger,Fuel at home,Level 1/2/3 comparison; circuit requirement diagram,Level; amps; circuit; installed,Cutaway
E,Energy,Spread,E412,E413,Professional,Small wind turbine,Power from the wind,Turbine siting and height diagram,Model; tower height; output; permits,Exterior
E,Energy,Spread,E414,E415,Professional,Boiler,Heat by water,Boiler loop diagram (boiler→radiators→return),Type; normal pressure; bled date; serviced,Cutaway
E,Energy,Spread,E416,E417,Professional,Radiant floor heating,Warmth underfoot,Radiant loop and manifold diagram,Zones; manifold location; fluid type,Cutaway
E,Energy,Spread,E418,E419,Professional,Geothermal heat pump,Heat from the earth,Ground loop types diagram (horizontal vs vertical),Loop type; model; fluid checked; serviced,Cutaway
E,Energy,Spread,E420,E421,Professional,Wood stove,Fire as a system,Stove clearances and flue diagram,Model; clearances; gasket date; flue swept,Cutaway
E,Energy,Spread,E422,E423,Professional,Pellet stove,Automated wood heat,"Pellet stove anatomy (hopper, auger, burn pot)",Model; pellet storage; cleaned; serviced,Cutaway
F,Flow,Part opener,F000,F001,Basic,Flow,Trace every drop of water and every breath of air,"Cutaway master view, ghosted; supply traced in blue, hot in red, drains in green, conditioned air in orange from equipment through ducts to registers. Reader interaction on the opener: Mark your main shutoff, heater, and cleanouts on the trace.",,Overlay
F,Flow,Spread,F002,F003,Basic,Water Source,Know where every drop begins,Source-to-tap diagram (municipal vs well paths),Source type; provider or well info; normal pressure,Cutaway
F,Flow,Spread,F004,F005,Basic,Water testing,"Trust, then verify",What-to-test chart by source type,"Test dates; results (bacteria, lead, nitrates); lab used",Cutaway
F,Flow,Spread,F006,F007,Basic,Main supply line & meter,The artery in,Meter and main shutoff diagram; leak test via meter dial,Meter location; shutoff location; line material; leak test date,Cutaway
F,Flow,Spread,F008,F009,Basic,Shutoff valves,Stop water anywhere,Valve types (ball vs gate); fixture stop locations,Valve map by fixture; exercised date,Cutaway
F,Flow,Spread,F010,F011,Basic,Supply piping & manifolds,The house's veins,Pipe materials chart (copper/PEX/galvanized); manifold diagram,Materials; manifold location; pressure,Cutaway
F,Flow,Spread,F012,F013,Basic,Water heater,The hot heart,"Tank cutaway (anode, TPR valve, dip tube, sediment)",Type; brand; capacity; installed; temp setting; flushed; anode checked,Cutaway
F,Flow,Spread,F014,F015,Basic,Pipe insulation & freeze protection,Beat the freeze,Vulnerable pipes map; heat tape detail,Insulated runs; heat tape locations; freeze protocol,Cutaway
F,Flow,Spread,F016,F017,Basic,Faucets & fixtures,Anatomy of a faucet,Cartridge faucet exploded view; aerator detail,Fixture list; cartridge types; drips fixed,Cutaway
F,Flow,Spread,F018,F019,Basic,Toilets,The most-used machine in the house,"Tank anatomy (flapper, fill valve, flush path)",Toilet list; flapper sizes; parts replaced,Cutaway
F,Flow,Spread,F020,F021,Basic,Showers & tubs,Behind the wall,Shower valve anatomy; waterproofing layers,Valve types; caulk and grout date; leak checks,Cutaway
F,Flow,Spread,F022,F023,Basic,Hose bibs & spigots,"Outdoor water, winter-safe",Frost-free sillcock cutaway,Locations; frost-free Y/N; winterized date,Exterior
F,Flow,Spread,F024,F025,Basic,Drain piping,Gravity's plumbing,DWV tree diagram (fixture→stack→sewer),Material; slow drain history; snaked dates,Cutaway
F,Flow,Spread,F026,F027,Basic,Traps & cleanouts,The water seal explained,P-trap function diagram; cleanout locations map,Cleanout locations; trap issues,Cutaway
F,Flow,Spread,F028,F029,Basic,Vent stacks,Why drains need air,Venting principle diagram (trap siphon prevention),Roof vent count; blockage history,Cutaway
F,Flow,Spread,F030,F031,Basic,Sewer lateral,Your pipe to the street,"Lateral path diagram (house→main, ownership line)",Material; age; camera inspection date; root history,Cutaway
F,Flow,Spread,F032,F033,Basic,Gutters,Catch the roof's river,Gutter slope and sizing diagram,Material; size; cleaned dates; problem corners,Exterior
F,Flow,Spread,F034,F035,Basic,Downspouts,Carry it away,Downspout extension and burial detail,Count; discharge points; extensions Y/N,Exterior
F,Flow,Spread,F036,F037,Basic,Central air conditioning,"Cold, explained",Refrigeration cycle diagram (condenser/evaporator),Brand; tonnage; age; refrigerant type; serviced,Cutaway
F,Flow,Spread,F038,F039,Basic,Thermostats & zoning,Talk to your climate,Thermostat wiring basics (C-wire); zone map,Model; schedule set; zones; batteries,Cutaway
F,Flow,Spread,F040,F041,Basic,Ductwork,Air's highway map,Duct layout (supply vs return); leak points,Material; known leaks; sealed and insulated,Cutaway
F,Flow,Spread,F042,F043,Basic,Registers & dampers,Balance the air,Damper positions diagram,Damper locations; seasonal positions,Cutaway
F,Flow,Spread,F044,F045,Basic,Air filters,The lungs' first defense,MERV scale chart; filter locations diagram,Sizes per unit; MERV; change schedule; last changed,Cutaway
F,Flow,Spread,F046,F047,Basic,Bathroom exhaust fans,Moisture's exit,Fan duct-to-exterior diagram,Locations; CFM; ducted outside Y/N; cleaned,Cutaway
F,Flow,Spread,F048,F049,Basic,Attic ventilation,The breathing roof,Soffit-to-ridge airflow diagram,Vent types; net free area estimate; baffles Y/N,Cutaway
F,Flow,Spread,F050,F051,Basic,Ceiling fans,Comfort that spins both ways,"Fan direction by season diagram (summer down, winter up)",Locations; direction switch dates; balanced,Cutaway
F,Flow,Spread,F200,F201,Advanced,Water pressure & PRV,Pressure in the healthy range,PRV anatomy; gauge reading diagram,Static PSI; PRV location; set point; expansion tank,Cutaway
F,Flow,Spread,F202,F203,Advanced,Leak detection & auto-shutoff,The system that watches the water,"Smart shutoff installation diagram (main line, sensors)",Device; sensor locations; auto-shutoff tested; alerts go to,Cutaway
F,Flow,Spread,F204,F205,Advanced,Well pump & pressure tank,Your private waterworks,"Well system diagram (pump, tank, pressure switch)",Pump type and depth; tank size; cut-in/out PSI; installed,Exterior
F,Flow,Spread,F206,F207,Advanced,Water softener,Tame hard water,"Ion exchange diagram (resin bed, brine cycle)",Model; hardness in/out; salt type; refilled,Cutaway
